                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.64898,                  3.928,                0.92888,                0.00226,                0.97297,                0.22454,                0.18336,                0.44514,                  3.807,                0.82474,                 0.0865,                 0.0015,                 0.0015
                      1,                0.56171,                 1.5971,                0.86093,                0.00226,                0.97297,                0.96769,                0.84424,                0.44984,                 3.3552,                0.83023,               0.072039,              0.0030386,              0.0030386
