                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.46731,                0.35027,                0.85863,                0.99826,                0.97297,                0.99397,                0.96177,                0.31941,                 0.2832,                0.81827,               0.002872,               0.002872,               0.002872
                     38,                0.43311,                0.32936,                 0.8566,                0.99811,                0.97297,                0.99397,                 0.9286,                0.39433,                0.27817,                0.83013,               0.002674,               0.002674,               0.002674
                     39,                0.42882,                0.31352,                 0.8446,                0.99769,                0.97297,                0.99397,                 0.9193,                0.43479,                0.28267,                0.83059,               0.002476,               0.002476,               0.002476
                     40,                0.33229,                0.27169,                0.80166,                0.97363,                0.99789,                0.99447,                 0.9292,                0.38769,                0.28356,                 0.8236,               0.002278,               0.002278,               0.002278
                     41,                0.33848,                0.28143,                0.80357,                0.97364,                0.99834,                0.99447,                0.94306,                 0.3563,                0.26983,                0.81485,                0.00208,                0.00208,                0.00208
                     42,                0.33727,                0.26834,                0.78956,                0.97366,                0.99906,                0.99447,                0.94132,                0.39602,                0.29214,                0.81958,               0.001882,               0.001882,               0.001882
                     43,                0.34755,                0.28083,                0.79931,                0.97366,                0.99912,                0.99447,                0.95587,                 0.3295,                0.26259,                0.81147,               0.001684,               0.001684,               0.001684
                     44,                0.34207,                0.27501,                0.81295,                0.97362,                0.99763,                0.99447,                0.94414,                0.35344,                0.27387,                0.81477,               0.001486,               0.001486,               0.001486
                     45,                0.32422,                0.26414,                0.78857,                0.99553,                0.97297,                0.99397,                0.94814,                0.31164,                0.25703,                0.81496,               0.001288,               0.001288,               0.001288
                     46,                0.31998,                0.26147,                0.78681,                0.99687,                0.97297,                0.99397,                0.94651,                0.32959,                0.26414,                0.82188,                0.00109,                0.00109,                0.00109
                     47,                0.31274,                0.25982,                0.78917,                      1,                0.99917,                  0.995,                0.95684,                0.32382,                0.25127,                0.82256,               0.000892,               0.000892,               0.000892
                     48,                0.30013,                0.24114,                 0.7925,                0.99936,                      1,                  0.995,                0.95378,                0.31659,                0.24883,                0.82087,               0.000694,               0.000694,               0.000694
                     49,                0.27867,                0.23472,                0.78408,                0.99904,                      1,                  0.995,                0.95724,                 0.3081,                0.24547,                0.81856,               0.000496,               0.000496,               0.000496
